ID,Title,"File Name",Caption,"Alt Text",Description,URLs,"Date Uploaded",Type
16234,2024-Jan-20-BISHOP-BEER-FEST-no-scan-code-994&#215;1536-1,2024-Jan-20-BISHOP-BEER-FEST-no-scan-code-994x1536-1.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/2024-Jan-20-BISHOP-BEER-FEST-no-scan-code-994x1536-1.jpg,"January 18, 2024",image/jpeg
16230,beerfest23-40,beerfest23-40.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/beerfest23-40.jpg,"January 18, 2024",image/jpeg
16226,MLKJrParade,MLKJrParade.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/MLKJrParade.jpg,"January 11, 2024",image/jpeg
16225,taiko-japanese-cultural-center-hawaii,taiko-japanese-cultural-center-hawaii.webp,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/taiko-japanese-cultural-center-hawaii.webp,"January 11, 2024",image/webp
16213,SeaLifeParkCleaning,SeaLifeParkCleaning.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/SeaLifeParkCleaning.jpg,"January 11, 2024",image/jpeg
16210,SeaLifeParkCleaningSm,SeaLifeParkCleaningSm.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/SeaLifeParkCleaningSm.jpg,"January 11, 2024",image/jpeg
16202,taiko-japanese-cultural-center,taiko-japanese-cultural-center.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/taiko-japanese-cultural-center.jpg,"January 11, 2024",image/jpeg
16199,Map1,Map1.png,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/Map1.png,"January 11, 2024",image/png
16197,Map,Map.png,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/Map.png,"January 11, 2024",image/png
16193,2024-Muu-at-the-Museum,2024-Muu-at-the-Museum.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/2024-Muu-at-the-Museum.jpg,"January 11, 2024",image/jpeg
16192,1O5A4059,1O5A4059.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/1O5A4059.jpg,"January 11, 2024",image/jpeg
16182,"2020 Great Aloha Run",gar-021720-89.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/gar-021720-89.jpg,"January 9, 2024",image/jpeg
16180,hph-great-aloha-run-2018-1,hph-great-aloha-run-2018-1.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/hph-great-aloha-run-2018-1.jpg,"January 9, 2024",image/jpeg
16163,24soih-09_coursemap_r3_web,24soih-09_coursemap_r3_web.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/24soih-09_coursemap_r3_web.jpg,"January 8, 2024",image/jpeg
16153,waialae,waialae.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/waialae.jpg,"January 8, 2024",image/jpeg
16144,lahaina_7sm,lahaina_7sm.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/lahaina_7sm.jpg,"January 8, 2024",image/jpeg
16138,AdobeStock_194216324_Preview,AdobeStock_194216324_Preview.jpeg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/AdobeStock_194216324_Preview.jpeg,"January 3, 2024",image/jpeg
16137,"Maria Lanakila Catholic Church in the town of Lahaina, Maui Isla",Maria-Lanakila-Church-AdobeStock_477499994_unscathed-by-Maui-FireSm.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/Maria-Lanakila-Church-AdobeStock_477499994_unscathed-by-Maui-FireSm.jpg,"January 3, 2024",image/jpeg
16136,"Maria Lanakila Catholic Church in the town of Lahaina, Maui Island, HI",Maria-Lanakila-Church-AdobeStock_477499994_unscathed-by-Maui-Fire-scaled.jpeg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/Maria-Lanakila-Church-AdobeStock_477499994_unscathed-by-Maui-Fire-scaled.jpeg,"January 3, 2024",image/jpeg
16134,Maria-Lanakila-Church-Unscathed-by-fire-AdobeStock_477499994_Preview,Maria-Lanakila-Church-Unscathed-by-fire-AdobeStock_477499994_Preview.jpeg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/Maria-Lanakila-Church-Unscathed-by-fire-AdobeStock_477499994_Preview.jpeg,"January 3, 2024",image/jpeg
16130,MauiForeverStrong,MauiForeverStrong.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/MauiForeverStrong.jpg,"January 3, 2024",image/jpeg
16129,31e67bb6-8c07-4c77-ab66-12cdfef83afe,31e67bb6-8c07-4c77-ab66-12cdfef83afe.jpeg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/31e67bb6-8c07-4c77-ab66-12cdfef83afe.jpeg,"January 3, 2024",image/jpeg
16128,lahaina_hero_updatedmuted_hta,lahaina_hero_updatedmuted_hta.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/lahaina_hero_updatedmuted_hta.jpg,"January 3, 2024",image/jpeg
16127,Lahaina-Quilts-IMG_8066,Lahaina-Quilts-IMG_8066.jpeg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2024/01/Lahaina-Quilts-IMG_8066.jpeg,"January 3, 2024",image/jpeg
16122,fireworkswaiikiki,fireworkswaiikiki.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/12/fireworkswaiikiki.jpg,"December 31, 2023",image/jpeg
16110,JCCHBanner,JCCHBanner.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/JCCHBanner.jpg,"November 20, 2023",image/jpeg
16108,jcch,jcch.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/jcch.jpg,"November 20, 2023",image/jpeg
16106,"VARUN LOGO",VARUN-LOGO-1.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/VARUN-LOGO-1.jpg,"November 15, 2023",image/jpeg
16105,"VARUN LOGO",VARUN-LOGO.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/VARUN-LOGO.jpg,"November 15, 2023",image/jpeg
16092,Delton-Walling-e1445886451578,Delton-Walling-e1445886451578.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/Delton-Walling-e1445886451578.jpg,"November 14, 2023",image/jpeg
16091,Waikiki-Holiday-Parade-Kaiser-HS-Cougar-Marching-Band-e1445886438530,Waikiki-Holiday-Parade-Kaiser-HS-Cougar-Marching-Band-e1445886438530.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/Waikiki-Holiday-Parade-Kaiser-HS-Cougar-Marching-Band-e1445886438530.jpg,"November 14, 2023",image/jpeg
16090,ACESxp-6469-e1445886947117,ACESxp-6469-e1445886947117.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/ACESxp-6469-e1445886947117.jpg,"November 14, 2023",image/jpeg
16088,6b6869_afd7b9ea4dfa4c9bac5362c09e64dd23~mv2,6b6869_afd7b9ea4dfa4c9bac5362c09e64dd23mv2.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/6b6869_afd7b9ea4dfa4c9bac5362c09e64dd23mv2.jpg,"November 14, 2023",image/jpeg
16076,usa_today_10432355.0,usa_today_10432355.0.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/usa_today_10432355.0.jpg,"November 14, 2023",image/jpeg
16074,2018-maui-invitational,2018-maui-invitational.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/2018-maui-invitational.jpg,"November 14, 2023",image/jpeg
16071,MauiJim-Boxout-in-the-paint-web,MauiJim-Boxout-in-the-paint-web.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/MauiJim-Boxout-in-the-paint-web.jpg,"November 14, 2023",image/jpeg
16069,MauiInvitational1,MauiInvitational1.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/MauiInvitational1.jpg,"November 14, 2023",image/jpeg
16063,maui-invitational-file-photo-by-rodney-yap-with-new-logo-graphic,maui-invitational-file-photo-by-rodney-yap-with-new-logo-graphic.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/maui-invitational-file-photo-by-rodney-yap-with-new-logo-graphic.jpg,"November 14, 2023",image/jpeg
16048,bohfamilysunday-printtables,bohfamilysunday-printtables.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/bohfamilysunday-printtables.jpg,"November 14, 2023",image/jpeg
16046,bohfamilysunday-lawn-music,bohfamilysunday-lawn-music.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/bohfamilysunday-lawn-music.jpg,"November 14, 2023",image/jpeg
16042,FeetRunning,FeetRunning.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/FeetRunning.jpg,"November 13, 2023",image/jpeg
16041,"Marathon runners running on city road,detail on legs",istockphoto-879557554-612x612-1.jpg,"Marathon runners running on city road,detail on legs",,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/istockphoto-879557554-612x612-1.jpg,"November 13, 2023",image/jpeg
16040,maxresdefault,maxresdefault-1.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/maxresdefault-1.jpg,"November 13, 2023",image/jpeg
16039,maxresdefault,maxresdefault.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/maxresdefault.jpg,"November 13, 2023",image/jpeg
16014,"Fitness woman running training for marathon on sunny coast trail",istockphoto-1324624694-612x612-1.jpg,"Fitness woman running training for marathon on sunny coast trail",,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/istockphoto-1324624694-612x612-1.jpg,"November 11, 2023",image/jpeg
16012,turkey,turkey.jpeg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/turkey.jpeg,"November 11, 2023",image/jpeg
16007,LanikaiCraftFair,LanikaiCraftFair.jpg,,,,https://www.thisweekhawaii.com/wp-content/uploads/2023/11/LanikaiCraftFair.jpg,"November 11, 2023",image/jpeg
